0,1
"Park, Program, or Office Name",Alpha Code
Abraham Lincoln Birthplace National Historical Park,ABLI
Abraham Lincoln National Heritage Area,See MWR
Acadia National Park,ACAD
"Adams Memorial, District of Columbia",See NCR
Adams National Historical Park,ADAM
African American Civil War Memorial,AFAM
African Burial Ground National Monument,AFBG
Agate Fossil Beds National Monument,AGFO
Ala Kahakai National Historic Trail,ALKA
Alagnak Wild River,ALAG
Alaska Public Lands,ANCH
Alaska Region,AKR
Alaska Regional Office,AKRO
Alcatraz Island,ALCA
Aleutian World War II National Historic Area,ALEU
Alibates Flint Quarries National Monument,ALFL
Allegheny Portage Railroad National Historic Site,ALPO
Amache National Historic Site,AMCH
American Memorial Park,AMME
Amistad National Recreation Area,AMIS
Anacostia Park,ANAC
Andersonville National Historic Site,ANDE
Andrew Johnson National Historic Site,ANJO
Aniakchak National Monument and Preserve,ANIA
Aniakchak Wild River,See ANIA
Antietam National Battlefield,ANTI
Apostle Islands National Lakeshore,APIS
Appalachian Highlands Network,APHN
Appalachian National Scenic Trail,APPA
Appomattox Court House National Historical Park,APCO
Arabia Mountain National Heritage Area,ARMO
Arches National Park,ARCH
Arctic Network,ARCN
Arkansas Post National Memorial,ARPO
"Arlington House, The Robert E. Lee Memorial",ARHO
Assateague Island National Seashore,ASIS
Atchafalaya National Heritage Area,ATTR
Augusta Canal National Heritage Area,AUCA
Aztec Ruins National Monument,AZRU
Badlands National Park,BADL
Baltimore National Heritage Area,BALT
Baltimore-Washington Parkway,BAWA
Bandelier National Monument,BAND
Belmont-Paul Women's Equality National Monument (Sewall-Belmont Women's Equality NM),BEPA
Bent's Old Fort National Historic Site,BEOL
Bering Land Bridge National Preserve,BELA
Big Bend National Park,BIBE
Big Cypress National Preserve,BICY
Big Hole National Battlefield,BIHO
Big South Fork National River and Recreation Area,BISO
Big Thicket National Preserve,BITH
Bighorn Canyon National Recreation Area,BICA
Birmingham Civil Rights National Monument,BICR
Biscayne National Park,BISC
Black Canyon Of The Gunnison National Park,BLCA
Blackstone River Valley National Historical Park,BLRV
Blackwell School National Historic Site,BLSC
Blue Ridge National Heritage Area,BLRN
Blue Ridge Parkway,BLRI
Bluestone National Scenic River,BLUE
Booker T. Washington National Monument,BOWA
Boston African American National Historic Site,BOAF
Boston Harbor Islands National Recreation Area,BOHA
Boston National Historical Park,BOST
Brices Cross Roads National Battlefield Site,BRCR
Brown v. Board Of Education National Historic Site,BRVB
Bryce Canyon National Park,BRCA
Buck Island Reef National Monument,BUIS
Buffalo National River,BUFF
Cabrillo National Monument,CABR
Cache la Poudre River National Heritage Area,CALA
California National Historic Trail,CALI
Camp Nelson National Monument,CANE
Canaveral National Seashore,CANA
Cane River Creole National Historical Park,CARI
Cane River National Heritage Area,CRHA
Canyon de Chelly National Monument,CACH
Canyonlands National Park,CANY
Cape Cod National Seashore,CACO
Cape Hatteras National Seashore,CAHA
"Cape Henry Memorial, Part of Colonial National Historical Park",CAHA
Cape Krusenstern National Monument,CAKR
Cape Lookout National Seashore,CALO
Capitol Hill Parks,CAHI
Capitol Reef National Park,CARE
Captain John Smith Chesapeake National Historic Trail,CAJO
Capulin Volcano National Monument,CAVO
Carl Sandburg Home National Historic Site,CARL
Carlsbad Caverns National Park,CAVE (formerly CACA)
Carter G. Woodson Home National Historic Site,CAWO
Casa Grande Ruins National Monument,CAGR
Castillo de San Marcos National Monument,CASA
Castle Clinton National Monument,CACL
Castle Mountains National Monument,CAMO
Catoctin Mountain Park,CATO
Cedar Breaks National Monument,CEBR
Cedar Creek and Belle Grove National Historical Park,CEBE
Central Alaska Network,CAKN
César E. Chávez National Monument,CECH
Chaco Culture National Historical Park,CHCU
Chamizal National Memorial,CHAM
Champlain Valley National Heritage Partnership,CHVA
Channel Islands National Park,CHIS
Charles Pinckney National Historic Site,CHPI
Charles Young Buffalo Soldiers National Monument,CHYO
Chattahoochee River National Recreation Area,CHAT
Chesapeake and Ohio Canal National Historical Park,CHOH
Chesapeake Bay Gateways,CHBA
Chickamauga and Chattanooga National Military Park,CHCH
Chickasaw National Recreation Area (formerly Platt National Park),CHIC
Chihuahuan Desert Network,CHDN
Chimney Rock National Historic Site,use MWR
Chiricahua National Monument,CHIR
Christiansted National Historic Site,CHRI
City Of Rocks National Reserve,CIRO
City Of Rocks National Reserve,CWDW
Clara Barton National Historic Site,CLBA
Claude Moore Colonial Farm,CLMO
Colonial National Historical Park,COLO
Colorado National Monument,COLM
Coltsville National Historical Park,COLT
Congaree National Park,CONG
Constitution Gardens,COGA
Coronado National Memorial,CORO
Cowpens National Battlefield,COWP
Crater Lake National Park,CRLA
Craters Of The Moon National Monument and Preserve,CRMO
Cumberland Gap National Historical Park,CUGA
Cumberland Island National Seashore,CUIS
Cumberland Piedmont Network,CUPN
Curecanti National Recreation Area,CURE
Cuyahoga Valley National Park,CUVA
David Berger National Memorial,DABE
Dayton Aviation Heritage National Historical Park,DAAV
De Soto National Memorial,DESO
Death Valley National Park,DEVA
Delaware and Lehigh National Heritage Corridor,DELE
Delaware Water Gap National Recreation Area,DEWA
Denali National Park & Preserve (Formely Mount McKinley National Park),DENA
Denver Service Center,DSC
Devils Postpile National Monument,DEPO
Devils Tower National Monument,DETO
Dinosaur National Monument,DINO
Dry Tortugas National Park (formerly Fort Jefferson National Monument),DRTO (formerly FOJE)
Dwight D. Eisenhower Memorial,DDEM
Eastern Museum Laboratory,EML
Eastern Office of Design and Construction,EODC
Eastern Rivers and Mountains Network,ERMN
Ebey’s Landing National Historical Reserve,EBLA
Edgar Allan Poe National Historic Site,EDAL
Effigy Mounds National Monument,EFMO
Eisenhower National Historic Site,EISE
El Camino Real de los Tejas National Historic Trail,ELTE
El Camino Real de Tierra Adentro National Historic Trail,ELCA
El Malpais National Monument,ELMA
El Morro National Monument,ELMO
Eleanor Roosevelt National Historic Site,ELRO
Ellis Island (ELIS),use STLI
Emmett Till and Mamie Till-Mobley National Monument,TILL
Erie Canalway National Heritage Cooridor,ERIE
Eugene O'Neill National Historic Site,EUON
Everglades National Park,EVER
Fallen Timbers Battlefield and Fort Miamis National Historic Site,FATI
Federal Hall National Memorial,FEHA
Fire Island National Seashore,FIIS
First Ladies National Historic Site,FILA
First State National Historical Park,FRST
Flathead River,See GLAC
Flight 93 National Memorial,FLNI
Florissant Fossil Beds National Monument,FLFO
Ford's Theatre National Historic Site,FOTH
Fort Bowie National Historic Site,FOBO
Fort Caroline National Memorial,use TIMU
Fort Davis National Historic Site,FODA
Fort Donelson National Battlefield,FODO
Fort Dupont Park,FODU
Fort Foote Park,FOFO
Fort Frederica National Monument,FOFR
Fort Laramie National Historic Site,FOLA
Fort Larned National Historic Site,FOLS
Fort Matanzas National Monument,FOMA
Fort McHenry National Monument and Historic Shrine,FOMC
Fort Monroe National Monument,FOMR
Fort Necessity National Battlefield,FONE
Fort Point National Historic Site,FOPO
Fort Pulaski National Monument,FOPU
Fort Raleigh National Historic Site,FORA
Fort Scott National Historic Site,FOSC
Fort Smith National Historic Site,FOSM
Fort Stanwix National Monument,FOST
Fort Sumter and Fort Moultire Historical Park (Fort Sumter National Monument),FOSU
Fort Union National Monument,FOUN
Fort Union Trading Post National Historic Site,FOUS
Fort Vancouver National Historic Site,FOVA
Fort Washington Park,FOWA
Fossil Butte National Monument,FOBU
Franklin Delano Roosevelt Memorial (FRDE),FDRM
Franklin Delano Roosevelt National Memorial,FRDE
Frederick Douglass National Historic Site,FRDO
Frederick Law Olmsted National Historic Site,FRLA
Fredericksburg & Spotsylvania National Military Park,FRSP
Freedom Riders National Monument,FRRI
Freedom's Way National Heritage Area,FRWA
Friendship Hill National Historic Site,FRHI
Gates of the Arctic National Park & Preserve,GAAR
Gateway Arch National Park (formerly Jefferson National Expansion Memorial),JEFF
Gateway National Recreation Area,GATE
Gauley River National Recreation Area,GARI
General Grant National Memorial,GEGR
George Rogers Clark National Historical Park,GERO
George Washington Birthplace National Monument,GEWA
George Washington Carver National Monument,GWCA
George Washington Memorial Parkway,GWMP
Gettysburg National Military Park,GETT
Gila Cliff Dwellings National Monument,GICL
Glacier Bay National Park & Preserve,GLBA
Glacier National Park,GLAC
Glen Canyon National Recreation Area,GLCA
Glen Echo Park,GLEC
Gloria Dei Church National Historic Site,GLDE
Golden Gate National Recreation Area,GOGA
Golden Spike National Park (Historic Site),GOSP
Governors Island National Monument,GOIS
Grand Canyon National Park,GRCA
Grand Portage National Monument,GRPO
Grand Teton National Park,GRTE
Grant-Kohrs Ranch National Historic Site,GRKO
Great Basin National Park,GRBA
Great Egg Harbor River,GREG
Great Falls Park,GRFA
Great Lakes Network,GLKN
Great Sand Dunes National Park & Preserve,GRSA
Great Smoky Mountains National Park,GRSM
Greater Yellowstone Network,GRYN
Green Springs National Historic Landmark District,GRSP
Greenbelt Park,GREE
Guadalupe Mountains National Park,GUMO
Guilford Courthouse National Military Park,GUCO
Gulf Coast Network,GULN
Gulf Islands National Seashore,GUIS
Gullah/Geechee Cultural Heritage Corridor,GUGE
Hagerman Fossil Beds National Monument,HAFO
Haleakalā National Park,HALE
Hamilton Grange National Memorial,HAGR
Hampton National Historic Site,HAMP
Harmony Hall,HAHA
Harpers Ferry Center,HFC
Harpers Ferry National Historical Park,HAFE
Harriet Tubman National Historical Park,HART
Harriet Tubman Underground Railroad National Historical Park,HATU
Harry S. Truman National Historic Site,HSTR
Hawai'i Volcanoes National Park,HAVO
Heartland Network,HTLN
Herbert Hoover National Historic Site,HEHO
"Historic Jamestowne, Part of Colonial National Historical Park",JAME
Hohokam-Pima National Monument,PIMA
Home Of Franklin D. Roosevelt National Historic Site,HOFR
Homestead National Monument of America,HOME
Honouliuli Historic Site (National Monument),HONO
Hopewell Culture National Historical Park,HOCU
Hopewell Furnace National Historic Site,HOFU
Hopewell Village National Historic Site (now Hopewell Furnace NHS),HOVI
Horace Albright Training Center,HOAL
Horseshoe Bend National Military Park,HOBE
Hot Springs National Park,HOSP
Hovenweep National Monument,HOVE
Hubbell Trading Post National Historic Site,HUTR
Hudson River Valley National Heritage Area,HURV
Ice Age National Scenic Trail,IATR
Ice Age National Scientific Reserve,See IATR
Illinois and Michigan Canal National Heritage Corridor,ILMI
Independence National Historical Park,INDE
Indiana Dunes National Park (National Lakeshore),INDU
Intermountain Region,IMR
Intermountain Regional Office,IMRO
Iñupiat Heritage Center,INUP
Isle Royale National Park,ISRO
James A. Garfield National Historic Site,JAGA
Jamestown National Historic Site (part of Colonial National Historical Park),"COLO, JAME"
Jean Lafitte National Historical Park and Preserve,JELA
Jefferson National Expansion Memorial (now Gateway Arch National Park),"JNEM, JEFF"
Jewel Cave National Monument,JECA
Jimmy Carter National Historic Site,JICA
John D. Rockefeller JR. Memorial Parkway,See GRTE
John Day Fossil Beds National Monument,JODA
John Fitzgerald Kennedy National Historic Site,JOFI
John H. Chafee Blackstone River Valley National Heritage Corridor,BLAC
John Muir National Historic Site,JOMU
"John, Wild River",See GAAR
Johnstown Flood National Memorial,JOFL
Joshua Tree National Park,JOTR
Juan Bautista de Anza National Historic Trail,JUBA
Kalaupapa National Historical Park,KALA
Kaloko-Honokōhau National Historical Park,KAHO
Katahdin Woods and Waters National Monument,KAWW
Katmai National Park & Preserve,KATM
Kenai Fjords National Park,KEFJ
Kenilworth Park and Aquatic Gardens,KEAQ
Kennesaw Mountain National Battlefield Park,KEMO
Kern River,See Seki
Keweenaw National Historical Park,KEWE
Kings Mountain National Military Park,KIMO
Kings River,See SEKI
Klamath Network,KLMN
Klondike Gold Rush - Seattle Unit National Historical Park,KLSE
Klondike Gold Rush National Historical Park,KLGO
Knife River Indian Villages National Historic Site,KNRI
Kobuk Valley National Park,KOVA
Kobuk Wild River,See GAAR
Korean War Veterans National Memorial,KOWA
Lady Bird Johnson Park,See GWMP
Lake Chelan National Recreation Area,See NOCA
Lake Clark National Park & Preserve,LACL
Lake Mead National Recreation Area,LAKE (formerly LAME)
Lake Meredith National Recreation Area,LAMR
Lake Roosevelt National Recreation Area,LARO
Lassen Volcanic National Park,LAVO
Lava Beds National Monument,LABE
Lehman Caves National Monument,See GRBA
Lewis and Clark National Historic Trail,LECL
Lewis and Clark National Historical Park,LEWI
Lincoln Boyhood National Memorial,LIBO
Lincoln Home National Historic Site,LIHO
Lincoln Memorial,LINC
Little Bighorn Battlefield National Monument,LIBI
Little River Canyon National Preserve,LIRI
Little Rock Central High School National Historic Site,CHSC
Longfellow House - Washington's Headquarters National Historic Site,LONG
Lowell National Historical Park,LOWE
Lower Delaware Wild and Scenic River,LODE
Lower East Side Tenement Museum National Historic Site,LOEA
Lyndon B. Johnson National Historical Park,LYJO
Lyndon Baines Johnson Memorial Grove on the Potomac,LYBA
Maggie L. Walker National Historic Site,MAWA
Maine Acadian Culture,MAAC
Mammoth Cave National Park,MACA
Manassas National Battlefield Park,MANA
Manhattan Project National Historical Park,MAPR
Manzanar National Historic Site,MANZ
Marsh-Billings-Rockefeller National Historical Park,MABI
Martin Luther King Jr National Memorial,MLKM
"Martin Luther King, Jr. National Historical Park",MALU
Martin Van Buren National Historic Site,MAVA
Mary McLeod Bethune Council House National Historic Site,MAMC
Mather Training Center,MTC
Medgar and Myrlie Evers Home National Monument,MEMY
Mediterranean Coast Network,MEDN
Merced River,See YOSE
Meridian Hill Park,MEHI
Mesa Verde National Park,MEVE
Mid-Atlantic Network,MIDN
Mid-Atlantic Regional Office,MARO
Midwest Archeological Center,MWAC
Midwest Region,MWR
Midwest Regional Office,MWRO
Mill Springs Battlefield National Monument,MISP
Minidoka National Historic Site,MIIN
Minute Man National Historical Park,MIMA
Minuteman Missile National Historic Site,MIMI
Mississippi Delta National Heritage Area,MIDE
Mississippi Hills National Heritage Area,MIHI
Mississippi National River and Recreation Areas,MISS
Missouri National Recreational River,MNRR
Mojave Desert Network,MOJN
Mojave National Preserve,MOJA
Monocacy National Battlefield,MONO
Montezuma Castle National Monument,MOCA
Moores Creek National Battlefield,MOCR
Mormon Pioneer National Historic Trail,MOPI
Morristown National Historical Park,MORR
MotorCities National Heritage,AUTO
Mount Rainier National Park,MORA
Mount Rushmore National Memorial,MORU
Muir Woods National Monument,MUWO
Mulchanta Wild River,See LACL
Muscle Shoals National Heritage Area,MUSH
Museum Resource Center,MRCE
Natchez National Historical Park,NATC
Natchez Trace National Scenic Trail,NATT
Natchez Trace Parkway,NATR
National Aviation Heritage Area,AVIA
National Capital Parks,NCP
National Capital Parks-East,NACE
National Capital Region,NCR
National Capital Region Network,NCRN
National Coal Heritage Area,COAL
National Mall and Memorial Parks,NAMA
National Park of American Samoa,NPSA
National Parks of New York Harbor,NPNH
National Park Service History Collection (formerly the NPS Archives),HFCA
Natural Bridges National Monument,NABR
Navajo National Monument,NAVA
New Bedford Whaling National Historical Park,NEBE
New England National Scenic Trail,NEEN
New Jersey Coastal Heritage Trail Route,NEJE
New Jersey Pinelands National Reserve,PINE
New Orleans Jazz National Historical Park,JAZZ
New River Gorge National River,NERI
Nez Perce National Historical Park,NEPE
Niagara Falls National Heritage Area,NIFA
Nicodemus National Historic Site,NICO
Ninety Six National Historic Site,NISI
Niobrara National Scenic River,NIOB
Noatak National Preserve,NOAT
North Cascades National Park,NOCA
North Coast and Cascades Network,NCCN
North Country National Scenic Trail,NOCO
North Fork of the Koykuk River,See GAAR
Northeast Coastal and Barrier Network,NCBN
Northeast Region,NER
Northeast Regional Office,NERO
Northeast Temperate Network,NETN
Northern Colorado Plateau Network,NCPN
Northern Great Plains Network,NGPN
Northern Plains National Heritage Area,See KNRI
Northern Rio Grande National Heritage Area,NORG
Obed Wild & Scenic River,OBED
Ocmulgee Mounds National Historical Park (formerly Ocmulgee National Monument),OCMU
Ohio and Erie National Heritage Canalway,See CUVA
Oil Region National Heritage Area,OIRE
Oklahoma City National Memorial,OKCI
Old Kassan National Monument (abolished),See AKR
Old Spanish National Historic Trail,OLSP
Olympic National Park,OLYM
Oregon Caves National Monument & Preserve,ORCA
Oregon National Historic Trail,OREG
Organ Pipe Cactus National Monument,ORPI
Overmountain Victory National Historic Trail,OVVI
Oxon Cove Park & Oxon Hill Farm,OXHI
Ozark National Scenic Riverways,OZAR
Pacific Islands Network,PACN
Pacific West Regional Office,PWRO
Padre Island National Seashore,PAIS
Palo Alto Battlefield National Historical Park,PAAL
Parashant National Monument,PARA
Paterson Great Falls National Historical Park,PAGR
Pea Ridge National Military Park,PERI
Pearl Harbor National Memorial,See VALR
Pecos National Historical Park,PECO
Pennsylvania Avenue National Historic Site,PAAV
Perry's Victory & International Peace Memorial,PEVI
Petersburg National Battlefield,PETE
Petrified Forest National Park,PEFO
Petroglyph National Monument,PETR
Pictured Rocks National Lakeshore,PIRO
Pinnacles National Park,PINN
Pipe Spring National Monument,PISP
Pipestone National Monument,PIPE
Piscataway Park,PISC
Point Reyes National Seashore,PORE
Pony Express National Historic Trail,POEX
Port Chicago Naval Magazine National Memorial,POCH
Potomac Heritage National Scenic Trail,POHE
Poverty Point National Monument,POPO
President William Jefferson Clinton Birthplace Home National Historic Site,WICL
President's Park (White House),WHHO
Presidio of San Francisco,PRSF
Prince William Forest Park,PRWI
Pullman National Monument,PULL
Pu'uhonua O Hōnaunau National Historical Park,PUHO
Pu'ukoholā Heiau National Historic Site,PUHE
Quinebag and Shetucket Rivers Valley,QUSH
Rainbow Bridge National Monument,RABR
Reconstruction Era Historical Park (National Monument),REER
Redwood National and State Parks,REDW
Richmond National Battlefield Park,RICH
Rio Grande Wild & Scenic River,RIGR
River Raisin National Battlefield Park,RIRA
River Styx Wild and Scenic River,See ORCA
Rivers of Steel National Heritage Area,RIST
Rock Creek Park,ROCR
Rocky Mountain National Park,ROMO
Rocky Mountain Network,ROMN
Roger Williams National Memorial,ROWI
Roosevelt Campobello International Park,ROCA
Roosevelt-Vanderbilt National Historic Sites,ROVA
Rosie the Riveter/World War II Home Front National Historical Park,RORI
Ross Lake National Recreation Area,See NOCA
Russell Cave National Monument,RUCA
Sagamore Hill National Historic Site,SAHI
Saguaro National Park,SAGU
Saint Croix Island International Historic Site,SACR
Saint Croix National Scenic Riverway,SACN
Saint Paul's Church National Historic Site,SAPA
Saint-Gaudens National Historical Park (Historic Site),SAGA
Salem Maritime National Historic Site,SAMA
Salinas Pueblo Missions National Monument,SAPU
Salmon Wild River,See KOVA
Salt River Bay National Historical Park and Ecological Preserve,SARI
San Antonio Missions National Historical Park,SAAN
San Francisco Bay Area Network,SFAN
San Francisco Maritime National Historical Park,SAFR
San Juan Island National Historical Park,SAJH
San Juan National Historic Site,SAJU
Sand Creek Massacre National Historic Site,SAND
Sangre de Cristo National Heritage Area,See GRSA
Santa Monica Mountains National Recreation Area,SAMO
SantaFe National Historic Trail,SAFE
Saratoga National Historical Park,SARA
Saugus Iron Works National Historic Site,SAIR
Schuylkill River Valley National Heritage Area,SCRV
Scotts Bluff National Monument,SCBL
Selma to Montgomery National Historic Trail,SEMO
Sequoia & Kings Canyon National Parks,SEKI
Shenandoah National Park,SHEN
Shiloh National Military Park,SHIL
Sierra Nevada Netework,SIEN
Silos and Smokestacks National Heritage Area (See America's Agricultural and Heritage Partnership),See MWR
Sitka National Historical Park,SITK
Sleeping Bear Dunes National Lakeshore,SLBE
Snake River Headwaters Wild and Scenic River,See GRTE or YELL
Sonoran Desert Network,SODN
South Carolina National Heritage Corridor,SOCA
South Florida/Caribbean Network,SFCN
South Park National Heritage Area (No Acronym),See IMR
Southeast Alaska Network,SEAN
Southeast Archeological Center,SEAC
Southeast Coast Network,SECN
Southeast Region,SER
Southeast Regional Office,SERO
Southern Colorado Plateau Network,SCPN
Southern Plains Network,SOPN
Southwest Alaska Network,SWAN
Southwest Archeological Center,SWAC
Southwest Region,SWR
Southwest Regional Office,SWRO
Springfield Armory National Historic Site,SPAR
Star-Spangled Banner National Historic Trail,STSP
Statue Of Liberty National Monument,STLI
Ste. Genevieve National Historical Park,STGE
Steamtown National Historic Site,STEA
Stones River National Battlefield,STRI
Stonewall National Monument,STON
"Sudbury, Assabet and Cocord National Wild and Scenic River (Northeast Region)",See NER
Suitland Parkway,See NACE
Sunset Crater Volcano National Monument,SUCR
Tallgrass Prairie National Preserve,TAPR
Taunton National Wild and Scenic River (Northeast Region),See NER
Tennessee Civil War National Heritage Area,TECW
Thaddeus Kosciuszko National Memorial,THKO
The Last Green Valley National Heritage Corridor,See QUSH
Theodore Roosevelt Birthplace National Historic Site,THRB
Theodore Roosevelt Inaugural National Historic Site,THRI
Theodore Roosevelt Island,THIS
Theodore Roosevelt National Park,THRO
Thomas Cole National Historic Site,THCO
Thomas Edison National Historical Park,EDIS
Thomas Jefferson Memorial,THJE
Thomas Stone National Historic Site,THST
Timpanogos Cave National Monument,TICA
Timucuan Ecological & Historic Preserve,TIMU
Tinayguk Wild River,See GAAR
Tlikakila Wild River,See LACL
Tonto National Monument,TONT
Touro Synagogue National Historic Site,TOSY
Trail of Tears National Historic Trail,TRTE
Tule Lake National Monument,TULE
Tule Springs Fossil Beds National Monument,TUSK
Tumacácori National Historical Park,TUMA
Tupelo National Battlefield,TUPE
Tuskegee Airmen National Historic Site,TUAI
Tuskegee Institute National Historic Site,TUIN
Tuzigoot National Monument,TUZI
U.S. Park Police,USPP
Ulysses S. Grant National Historic Site,ULSG
Upper Columbia Basin Network,UCBN
Upper Delaware Scenic & Recreational River,UPDE
Upper Housatonic Valley National Heritage Area,UPHV
Valles Caldera National Preserve,VALL
Valley Forge National Historical Park,VAFO
Vanderbilt Mansion National Historic Site,VAMA
Vicksburg National Military Park,VICK
Vietnam Veterans Memorial,VIVE
Virgin Islands Coral Reef National Monument,VICR
Virgin Islands National Park,VIIS
Voyageurs National Park,VOYA
Waco Mammoth National Monument,WACO
Walnut Canyon National Monument,WACA
War In The Pacific National Historical Park,WAPA
Washington Monument,WAMO
Washington Office,WASO
Washington-Rochambeau Revolutionary Route National Historic Trail,WARO
Washita Battlefield National Historic Site,WABA
Weir Farm National Historic Site,WEFA
Wekiva National Wild and Scenic River (Southeast Region),See SER
Western Archeological and Conservation Center,WACC
Western Museum Laboratory,WML
Western Regional Office,WRO
Westfield National Wild and Scenic River (Northeast Region),See NER
Wheeling National Heritage Area,WHEE
Whiskeytown National Recreation Area,WHIS
White Clay Creek Wild and Scenic River (Philidelphia Region),See NER
White Sands National Park (formerly White Sands National Monument),WHSA
Whitman Mission National Historic Site,WHMI
William Howard Taft National Historic Site,WIHO
Wilson's Creek National Battlefield,WICR
Wind Cave National Park,WICA
Wing Luke Museum of the Asian Pacific American Experience,WING
Wolf River,See SER
Wolf Trap National Park for the Performing Arts (formerly Wolf Trap Farm Park),WOTR
Women's Rights National Historical Park,WORI
World War I Memorial,See NAMA
World War II Memorial National Memorial,WWII
World War II Valor in the Pacific National Monument,VALR
Wrangell - St. Elias National Park & Preserve,WRST
Wright Brothers National Memorial,WRBR
Wupatki National Monument,WUPA
Yellowstone National Park,YELL
Yorktown Battlefield (part of Colonial National Historical Park),"COLO, YORK"
Yosemite National Park,YOSE
Yucca House National Monument,YUHO
Yukon-Charley Rivers National Preserve,YUCH
Yuma Crossing National Heritage Area,YUCR
Zion National Park,ZION
